time,id,temp
1545376903835,T1,22.81
1545376903919,T2,22.62
1545376904002,T3,22.50
1545376905086,T1,22.81
1545376905171,T2,22.56
1545376905254,T3,22.50
1545376906336,T1,22.81
1545376906420,T2,22.62
1545376906504,T3,22.50
1545376907587,T1,22.81
1545376907671,T2,22.56
1545376907754,T3,22.50
1545376908838,T1,22.81
1545376908921,T2,22.56
1545376909005,T3,22.50
1545376910089,T1,22.81
1545376910171,T2,22.56
1545376910256,T3,22.50
1545376911339,T1,22.81
1545376911423,T2,22.56
1545376911506,T3,22.50
1545376912590,T1,22.81
